index type x y z tuning morphology cell_par
0 Scnn1a 2.443 13.739 -41.926 0.0 cell_models/395830185/Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc cell_models/395830185/472363762_fit.json
1 Scnn1a 10.741 -11.333 23.844 72.0 cell_models/395830185/Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc cell_models/395830185/472363762_fit.json
2 Scnn1a 3.450 12.374 -5.869 144.0 cell_models/395830185/Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc cell_models/395830185/472363762_fit.json
3 Scnn1a 8.476 -4.757 -34.169 216.0 cell_models/395830185/Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc cell_models/395830185/472363762_fit.json
4 Scnn1a -7.710 0.562 37.994 288.0 cell_models/395830185/Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc cell_models/395830185/472363762_fit.json
5 Rorb -2.083 13.661 -35.584 0.0 cell_models/314804042/Rorb-IRES2-Cre-D_Ai14_IVSCC_-168053.05.01.01_325404214_m.swc cell_models/314804042/473863510_fit.json
6 Rorb -7.895 4.720 -33.439 72.0 cell_models/314804042/Rorb-IRES2-Cre-D_Ai14_IVSCC_-168053.05.01.01_325404214_m.swc cell_models/314804042/473863510_fit.json
7 Rorb -2.718 9.123 46.393 144.0 cell_models/314804042/Rorb-IRES2-Cre-D_Ai14_IVSCC_-168053.05.01.01_325404214_m.swc cell_models/314804042/473863510_fit.json
8 Rorb -6.200 -6.502 46.023 216.0 cell_models/314804042/Rorb-IRES2-Cre-D_Ai14_IVSCC_-168053.05.01.01_325404214_m.swc cell_models/314804042/473863510_fit.json
9 Rorb -8.953 -4.910 -31.159 288.0 cell_models/314804042/Rorb-IRES2-Cre-D_Ai14_IVSCC_-168053.05.01.01_325404214_m.swc cell_models/314804042/473863510_fit.json
10 Nr5a1 13.402 2.063 -24.090 0.0 cell_models/318808427/Nr5a1-Cre_Ai14_IVSCC_-169250.03.02.01_471087815_m.swc cell_models/318808427/473863035_fit.json
11 Nr5a1 0.204 0.694 30.250 72.0 cell_models/318808427/Nr5a1-Cre_Ai14_IVSCC_-169250.03.02.01_471087815_m.swc cell_models/318808427/473863035_fit.json
12 Nr5a1 -3.970 -12.179 37.048 144.0 cell_models/318808427/Nr5a1-Cre_Ai14_IVSCC_-169250.03.02.01_471087815_m.swc cell_models/318808427/473863035_fit.json
13 Nr5a1 2.631 -14.026 42.275 216.0 cell_models/318808427/Nr5a1-Cre_Ai14_IVSCC_-169250.03.02.01_471087815_m.swc cell_models/318808427/473863035_fit.json
14 Nr5a1 17.529 2.543 -49.779 288.0 cell_models/318808427/Nr5a1-Cre_Ai14_IVSCC_-169250.03.02.01_471087815_m.swc cell_models/318808427/473863035_fit.json
15 PV1 -11.062 2.147 4.646 None cell_models/330080937/Pvalb-IRES-Cre_Ai14_IVSCC_-176847.04.02.01_470522102_m.swc cell_models/330080937/472912177_fit.json
16 PV1 15.985 -1.870 27.085 None cell_models/330080937/Pvalb-IRES-Cre_Ai14_IVSCC_-176847.04.02.01_470522102_m.swc cell_models/330080937/472912177_fit.json
17 PV2 -5.930 0.563 13.177 None cell_models/318331342/Pvalb-IRES-Cre_Ai14_IVSCC_-169125.03.01.01_469628681_m.swc cell_models/318331342/473862421_fit.json
18 PV2 8.794 1.627 31.666 None cell_models/318331342/Pvalb-IRES-Cre_Ai14_IVSCC_-169125.03.01.01_469628681_m.swc cell_models/318331342/473862421_fit.json
19 PV2 14.999 9.065 6.608 None cell_models/318331342/Pvalb-IRES-Cre_Ai14_IVSCC_-169125.03.01.01_469628681_m.swc cell_models/318331342/473862421_fit.json
20 LIF_exc -26.507 -30.203 -38.023 0.0 None None
21 LIF_exc 15.206 -37.104 43.034 4.5 None None
22 LIF_exc 31.750 -15.757 41.010 9.0 None None
23 LIF_exc 35.931 -21.979 24.918 13.5 None None
24 LIF_exc 9.210 -18.130 26.053 18.0 None None
25 LIF_exc 35.735 24.025 -35.712 22.5 None None
26 LIF_exc -22.506 26.843 31.194 27.0 None None
27 LIF_exc 27.579 6.257 -30.772 31.5 None None
28 LIF_exc -38.702 -11.603 -34.525 36.0 None None
29 LIF_exc 10.573 -35.440 -9.292 40.5 None None
30 LIF_exc 41.231 13.725 -49.962 45.0 None None
31 LIF_exc 8.316 20.500 34.552 49.5 None None
32 LIF_exc -23.393 26.375 -33.887 54.0 None None
33 LIF_exc 1.174 32.703 23.925 58.5 None None
34 LIF_exc 10.295 -35.362 8.291 63.0 None None
35 LIF_exc -15.868 21.247 27.026 67.5 None None
36 LIF_exc -12.329 -14.692 9.999 72.0 None None
37 LIF_exc -34.387 1.424 46.147 76.5 None None
38 LIF_exc -25.947 -15.017 -12.022 81.0 None None
39 LIF_exc 38.699 -15.520 -0.299 85.5 None None
40 LIF_exc 30.377 -11.252 -16.166 90.0 None None
41 LIF_exc 23.964 20.257 24.275 94.5 None None
42 LIF_exc 20.191 -30.298 -19.950 99.0 None None
43 LIF_exc -19.303 28.013 29.879 103.5 None None
44 LIF_exc 34.648 25.449 -41.405 108.0 None None
45 LIF_exc -29.496 26.533 -26.434 112.5 None None
46 LIF_exc -33.229 -2.165 -6.183 117.0 None None
47 LIF_exc 24.820 -6.190 -37.395 121.5 None None
48 LIF_exc -24.734 25.842 -29.697 126.0 None None
49 LIF_exc 38.738 3.017 34.154 130.5 None None
50 LIF_exc 24.807 -30.099 -12.757 135.0 None None
51 LIF_exc 33.387 28.015 -28.132 139.5 None None
52 LIF_exc -25.569 3.502 34.613 144.0 None None
53 LIF_exc 18.544 -25.531 7.537 148.5 None None
54 LIF_exc -31.375 -2.914 13.372 153.0 None None
55 LIF_exc -27.129 9.459 38.893 157.5 None None
56 LIF_exc 9.355 -28.500 21.396 162.0 None None
57 LIF_exc 32.579 4.197 -23.489 166.5 None None
58 LIF_exc -30.851 -15.142 -49.029 171.0 None None
59 LIF_exc -23.101 14.380 4.946 175.5 None None
60 LIF_exc 22.968 -2.151 20.753 180.0 None None
61 LIF_exc 8.970 -26.801 30.569 184.5 None None
62 LIF_exc 21.824 7.697 -30.934 189.0 None None
63 LIF_exc 10.487 26.720 13.421 193.5 None None
64 LIF_exc -35.747 11.017 43.855 198.0 None None
65 LIF_exc -10.406 -34.163 -24.181 202.5 None None
66 LIF_exc -21.520 37.978 -20.752 207.0 None None
67 LIF_exc -22.179 26.816 -7.436 211.5 None None
68 LIF_exc 30.403 -16.350 7.118 216.0 None None
69 LIF_exc 35.072 -10.517 49.006 220.5 None None
70 LIF_exc -32.125 21.048 8.820 225.0 None None
71 LIF_exc 28.960 -21.441 38.790 229.5 None None
72 LIF_exc -17.116 31.016 15.621 234.0 None None
73 LIF_exc 31.065 17.781 -2.722 238.5 None None
74 LIF_exc -29.297 -4.965 -19.445 243.0 None None
75 LIF_exc -20.956 -33.412 -14.982 247.5 None None
76 LIF_exc 27.996 -22.289 27.713 252.0 None None
77 LIF_exc 27.789 -6.183 -32.249 256.5 None None
78 LIF_exc 3.327 -26.423 -36.206 261.0 None None
79 LIF_exc 1.187 -20.744 -28.696 265.5 None None
80 LIF_exc -7.334 -28.600 16.891 270.0 None None
81 LIF_exc -5.517 -17.559 -12.860 274.5 None None
82 LIF_exc 2.622 -23.980 -29.350 279.0 None None
83 LIF_exc 20.093 -3.267 -16.930 283.5 None None
84 LIF_exc -19.348 19.663 -41.837 288.0 None None
85 LIF_exc 25.609 14.726 -6.346 292.5 None None
86 LIF_exc 2.308 35.411 31.122 297.0 None None
87 LIF_exc 7.021 38.762 -5.421 301.5 None None
88 LIF_exc -23.720 27.387 -5.269 306.0 None None
89 LIF_exc 8.852 -22.228 -47.247 310.5 None None
90 LIF_exc 38.783 15.383 -22.102 315.0 None None
91 LIF_exc -36.582 11.951 -42.483 319.5 None None
92 LIF_exc 12.882 -30.734 -45.226 324.0 None None
93 LIF_exc -3.274 36.496 36.359 328.5 None None
94 LIF_exc 30.972 13.035 21.432 333.0 None None
95 LIF_exc 1.200 24.178 33.044 337.5 None None
96 LIF_exc 31.491 18.643 -36.709 342.0 None None
97 LIF_exc 15.442 -40.652 -13.471 346.5 None None
98 LIF_exc 18.878 34.467 41.322 351.0 None None
99 LIF_exc 8.296 23.202 -6.661 355.5 None None
100 LIF_inh 24.545 -12.380 -27.973 None None None
101 LIF_inh 41.898 -10.375 24.892 None None None
102 LIF_inh 32.619 1.355 30.663 None None None
103 LIF_inh -25.357 11.367 -30.343 None None None
104 LIF_inh -36.890 -21.230 26.460 None None None
105 LIF_inh -25.071 35.048 15.735 None None None
106 LIF_inh -27.224 26.873 47.546 None None None
107 LIF_inh -14.286 18.223 -11.171 None None None
108 LIF_inh 4.952 41.353 25.675 None None None
109 LIF_inh 31.520 5.203 34.395 None None None
110 LIF_inh -4.673 -39.340 -12.093 None None None
111 LIF_inh 38.294 -0.357 -27.631 None None None
112 LIF_inh 35.785 8.792 -13.176 None None None
113 LIF_inh 24.834 -30.368 15.283 None None None
114 LIF_inh -38.585 -11.027 -24.261 None None None
115 LIF_inh 32.207 3.970 35.850 None None None
116 LIF_inh 29.971 13.832 -20.481 None None None
117 LIF_inh -21.478 -3.464 26.403 None None None
118 LIF_inh 23.868 18.409 -17.896 None None None
119 LIF_inh -11.850 39.853 0.432 None None None
