index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
0 transient_OFF 3232 118.538 57.991 LGN_exc 30
0 transient_OFF 3519 115.050 69.551 LGN_exc 30
0 transient_OFF 4167 114.566 71.350 LGN_exc 30
0 transient_OFF 4372 118.965 67.345 LGN_exc 30
0 transient_OFF 4666 115.306 74.011 LGN_exc 30
0 transient_OFF 5369 117.525 76.191 LGN_exc 30
0 transient_OFF 5465 120.166 64.637 LGN_exc 30
0 transient_OFF 5950 117.358 71.885 LGN_exc 30
0 transient_ON 200 128.456 57.431 LGN_exc 30
0 transient_ON 365 129.130 67.438 LGN_exc 30
0 transient_ON 426 127.177 66.506 LGN_exc 30
0 transient_ON 886 130.503 61.378 LGN_exc 30
0 transient_ON 1205 127.723 57.999 LGN_exc 30
0 transient_ON 1692 128.987 63.950 LGN_exc 30
0 transient_ON 2147 128.067 72.425 LGN_exc 30
0 transient_ON 2943 125.263 71.826 LGN_exc 30
1 transient_OFF 3149 124.102 54.642 LGN_exc 30
1 transient_OFF 3420 121.820 60.893 LGN_exc 30
1 transient_OFF 4114 120.668 55.449 LGN_exc 30
1 transient_OFF 4249 122.960 57.133 LGN_exc 30
1 transient_OFF 4367 120.071 49.741 LGN_exc 30
1 transient_OFF 4438 122.273 48.421 LGN_exc 30
1 transient_OFF 4477 124.032 61.262 LGN_exc 30
1 transient_OFF 4722 121.064 54.764 LGN_exc 30
1 transient_ON 514 131.217 62.154 LGN_exc 30
1 transient_ON 718 135.849 55.128 LGN_exc 30
1 transient_ON 886 130.503 61.378 LGN_exc 30
1 transient_ON 1511 135.303 56.131 LGN_exc 30
1 transient_ON 1962 135.624 60.292 LGN_exc 30
1 transient_ON 2711 132.367 57.425 LGN_exc 30
2 transient_ON_OFF 7658 130.199 74.639 LGN_exc 30
2 transient_OFF 3685 124.489 75.302 LGN_exc 30
2 transient_OFF 3853 120.323 77.469 LGN_exc 30
2 transient_OFF 4049 124.165 66.083 LGN_exc 30
2 transient_OFF 4210 124.986 77.161 LGN_exc 30
2 transient_OFF 4343 124.201 72.015 LGN_exc 30
2 transient_OFF 4797 122.984 77.257 LGN_exc 30
2 transient_OFF 4889 123.915 76.725 LGN_exc 30
2 transient_OFF 5984 123.165 77.090 LGN_exc 30
2 transient_ON 845 132.104 76.695 LGN_exc 30
2 transient_ON 1686 134.549 80.849 LGN_exc 30
2 transient_ON 1936 132.622 67.977 LGN_exc 30
2 transient_ON 1956 132.039 79.835 LGN_exc 30
2 transient_ON 2250 132.798 80.256 LGN_exc 30
2 transient_ON 2540 132.730 73.001 LGN_exc 30
2 transient_ON 2559 135.100 67.998 LGN_exc 30
2 transient_ON 2729 133.630 70.195 LGN_exc 30
3 transient_OFF 3214 139.739 50.828 LGN_exc 30
3 transient_OFF 3446 140.051 54.126 LGN_exc 30
3 transient_OFF 3680 141.335 43.235 LGN_exc 30
3 transient_OFF 3902 140.327 53.953 LGN_exc 30
3 transient_OFF 3945 143.356 42.598 LGN_exc 30
3 transient_OFF 4327 141.881 50.805 LGN_exc 30
3 transient_OFF 5604 140.392 51.496 LGN_exc 30
3 transient_OFF 5860 141.916 46.326 LGN_exc 30
3 transient_ON 153 154.442 44.999 LGN_exc 30
3 transient_ON 673 151.388 46.569 LGN_exc 30
3 transient_ON 1347 151.422 53.919 LGN_exc 30
3 transient_ON 1732 153.372 49.448 LGN_exc 30
3 transient_ON 1779 154.691 57.909 LGN_exc 30
3 transient_ON 1808 150.945 52.540 LGN_exc 30
