index src_type src_gid presyn_type N_syn
0 tw 1519 tw_exc 2
0 tw 2116 tw_exc 2
0 tw 2953 tw_exc 2
0 tw 645 tw_exc 2
0 tw 834 tw_exc 2
0 tw 1044 tw_exc 2
0 tw 1176 tw_exc 2
0 tw 2026 tw_exc 2
0 tw 1750 tw_exc 2
0 tw 1690 tw_exc 2
0 tw 1772 tw_exc 2
0 tw 1028 tw_exc 2
0 tw 2311 tw_exc 2
0 tw 2911 tw_exc 2
0 tw 516 tw_exc 2
0 tw 1127 tw_exc 2
0 tw 2231 tw_exc 2
0 tw 519 tw_exc 2
0 tw 110 tw_exc 2
0 tw 2947 tw_exc 2
0 tw 2172 tw_exc 2
0 tw 1104 tw_exc 2
0 tw 1869 tw_exc 2
1 tw 2811 tw_exc 4
1 tw 1368 tw_exc 4
1 tw 733 tw_exc 4
1 tw 844 tw_exc 4
1 tw 485 tw_exc 4
1 tw 2671 tw_exc 4
1 tw 1713 tw_exc 4
1 tw 750 tw_exc 4
1 tw 604 tw_exc 4
1 tw 2395 tw_exc 4
1 tw 1169 tw_exc 4
1 tw 1901 tw_exc 4
1 tw 320 tw_exc 4
1 tw 632 tw_exc 4
1 tw 2076 tw_exc 4
1 tw 2127 tw_exc 4
1 tw 646 tw_exc 4
1 tw 1157 tw_exc 4
1 tw 1643 tw_exc 4
2 tw 122 tw_exc 1
2 tw 405 tw_exc 1
2 tw 645 tw_exc 1
2 tw 224 tw_exc 1
2 tw 1690 tw_exc 1
2 tw 2026 tw_exc 1
2 tw 1591 tw_exc 1
2 tw 2947 tw_exc 1
2 tw 513 tw_exc 1
2 tw 521 tw_exc 1
2 tw 1883 tw_exc 1
2 tw 1127 tw_exc 1
2 tw 1750 tw_exc 1
2 tw 1490 tw_exc 1
2 tw 63 tw_exc 1
2 tw 1787 tw_exc 1
2 tw 624 tw_exc 1
2 tw 546 tw_exc 1
2 tw 1137 tw_exc 1
3 tw 680 tw_exc 1
3 tw 637 tw_exc 1
3 tw 1437 tw_exc 1
3 tw 2555 tw_exc 1
3 tw 1161 tw_exc 1
3 tw 2219 tw_exc 1
3 tw 2813 tw_exc 1
3 tw 348 tw_exc 1
3 tw 1346 tw_exc 1
3 tw 1870 tw_exc 1
3 tw 2684 tw_exc 1
3 tw 647 tw_exc 1
3 tw 2811 tw_exc 1
3 tw 215 tw_exc 1
3 tw 1554 tw_exc 1
3 tw 108 tw_exc 1
3 tw 2623 tw_exc 1
3 tw 2000 tw_exc 1
3 tw 119 tw_exc 1
3 tw 781 tw_exc 1
